Links,Chapter Headings,Description,List Headings,Unordered Lists,Ordered Lists
https://www.programiz.com/python-programming/exception-handling,"Python Exception Handling Using try, except and finally statement",,"Table of Contents
      
|||Video: Python Exception Handling (try..except..finally)$$$Exceptions in Python$$$Catching Exceptions in Python$$$Catching Specific Exceptions in Python$$$Raising Exceptions in Python$$$Python try with else clause$$$Python try...finally",,
https://www.programiz.com/python-programming/user-defined-exception,Python Custom Exceptions,,"Table of Contents
      
|||Creating Custom Exceptions$$$Example: User-Defined Exception in Python$$$Customizing Exception Classes",,
https://www.programiz.com/python-programming/object-oriented-programming,Python Object Oriented Programming,,"Example 1: Creating Class and Object in Python$$$Example 2 : Creating Methods in Python$$$Example 3: Use of Inheritance in Python$$$Example 4: Data Encapsulation in Python$$$Example 5: Using Polymorphism in Python$$$Table of Contents
      
|||Video: Object-oriented Programming in Python$$$Object Oriented Programming$$$Class$$$Object$$$Methods$$$Inheritance$$$Encapsulation$$$Polymorphism$$$Key Points to Remember:",,
https://www.programiz.com/python-programming/class,Python Objects and Classes,,"Table of Contents
      
|||Video: Python Classes and Objects$$$Python Objects and Classes$$$Defining a Class in Python$$$Creating an Object in Python$$$Constructors in Python$$$Deleting Attributes and Objects",,
https://www.programiz.com/python-programming/inheritance,Python Inheritance,,"Python Inheritance Syntax$$$Example of Inheritance in Python$$$Table of Contents
      
|||Video: Python Inheritance$$$Inheritance in Python$$$Method Overriding in Python",,
https://www.programiz.com/python-programming/multiple-inheritance,Python Multiple Inheritance,,"Example$$$Table of Contents
      
|||Python Multiple Inheritance$$$Python Multilevel Inheritance$$$Method Resolution Order in Python",,
https://www.programiz.com/python-programming/operator-overloading,Python Operator Overloading,,"Table of Contents
      
|||Python Operator Overloading$$$Python Special Functions$$$Overloading the + Operator$$$Overloading Comparison Operators",,
https://www.programiz.com/python-programming/iterator,Python Iterators,,"Table of Contents
      
|||Video: Python Iterators$$$Iterators in Python$$$Iterating Through an Iterator$$$Working of for loop for Iterators$$$Building Custom Iterators$$$Python Infinite Iterators",,
https://www.programiz.com/python-programming/generator,Python Generators,,"1. Easy to Implement$$$2. Memory Efficient$$$3. Represent Infinite Stream$$$4. Pipelining Generators$$$Table of Contents
      
|||Video: Python Generators$$$Generators in Python$$$Create Generators in Python$$$Differences between Generator function and Normal function$$$Python Generators with a Loop$$$Python Generator Expression$$$Use of Python Generators",,
https://www.programiz.com/python-programming/closure,Python Closures,,"Table of Contents
      
|||Nonlocal variable in a nested function$$$Defining a Closure Function$$$When do we have closures?$$$When to use closures?",,
https://www.programiz.com/python-programming/decorator,Python Decorators,,"Table of Contents
      
|||Video: @Decorators in Python$$$Decorators in Python$$$Prerequisites for learning decorators$$$Getting back to Decorators$$$Decorating Functions with Parameters$$$Chaining Decorators in Python",,
https://www.programiz.com/python-programming/property,Python @property decorator,,"Table of Contents
      
|||Class Without Getters and Setters$$$Using Getters and Setters$$$The property Class$$$The @property Decorator",,
https://www.programiz.com/python-programming/regex,Python RegEx,,"MetaCharacters$$$Example 1: re.findall()$$$Example 2: re.split()$$$Example 3: re.sub()$$$Example 4: re.subn()$$$Example 5: re.search()$$$match.group()$$$Example 6: Match object$$$match.start(), match.end() and match.span()$$$match.re and match.string$$$Using r prefix before RegEx$$$Example 7: Raw string using r prefix$$$Table of Contents
      
|||Specify Pattern Using RegEx$$$Python RegEx$$$re.findall()$$$re.split()$$$re.sub()$$$re.subn()$$$re.search()$$$Match object",,
https://www.programiz.com/python-programming/examples,,The best way to learn Python is by practicing examples. This page             contains examples on basic concepts of Python. We encourage you to try these examples on your own before looking at the solution. All the programs on this page are tested and should work on all platforms.,|||,,
https://www.programiz.com/python-programming/datetime,Python datetime,,"Example 1: Get Current Date and Time$$$Example 2: Get Current Date$$$Example 3: Date object to represent a date$$$Example 4: Get current date$$$Example 5: Get date from a timestamp$$$Example 6: Print today's year, month and day$$$Example 7: Time object to represent time$$$Example 8: Print hour, minute, second and microsecond$$$Example 9: Python datetime object$$$Example 10: Print year, month, hour, minute and timestamp$$$Example 11: Difference between two dates and times$$$Example 12: Difference between two timedelta objects$$$Example 13: Printing negative timedelta object$$$Example 14: Time duration in seconds$$$Python strftime() - datetime object to string$$$Example 15: Format date using strftime()$$$Python strptime() - string to datetime$$$Example 16: strptime()$$$Table of Contents
      
|||Video: Python datetime - Work with Dates and Times$$$datetime.date Class$$$datetime.time$$$datetime.datetime$$$datetime.timedelta$$$Python format datetime$$$Handling timezone in Python",,a string representing date and time$$$format code equivalent to the first argument
https://www.programiz.com/python-programming/datetime/strftime,Python strftime(),,"Table of Contents
      
|||Video: Dates and Times in Python$$$Example 1: datetime to string using strftime()$$$How strftime() works?$$$Example 2: Creating string from a timestamp$$$Format Code List$$$Example 3: Locale's appropriate date and time",,We imported datetime class from the datetime module. It's because the object of datetime class can access strftime() method.$$$The datetime object containing current date and time is stored in now variable.$$$The strftime() method can be used to create formatted strings.$$$The string you pass to the strftime() method may contain more than one format codes.
https://www.programiz.com/python-programming/datetime/strptime,Python strptime(),,"How strptime() works?$$$ValueError in strptime()$$$Table of Contents
      
|||Video: Dates and Times in Python$$$Example 1: string to datetime object$$$Example 2: string to datetime object$$$Format Code List",,
https://www.programiz.com/python-programming/datetime/current-datetime,How to get current date and time in Python?,,"Table of Contents
      
|||Video: Dates and Times in Python$$$Example 1: Python get today's date$$$Example 2: Current date in different formats$$$Example 3: Get the current date and time",,
https://www.programiz.com/python-programming/datetime/current-time,Python Get Current time,,"Table of Contents
      
|||Example 1: Current time using datetime object$$$Example 2: Current time using time module$$$Example 3: Current time of a timezone",,
https://www.programiz.com/python-programming/datetime/timestamp-datetime,Python timestamp to datetime and vice-versa,,|||Example 1: Python timestamp to datetime$$$Example 2: Python datetime to timestamp,,
https://www.programiz.com/python-programming/time,Python time Module,,"Python time.time()$$$Python time.ctime()$$$Python time.sleep()$$$Python time.localtime()$$$Python time.gmtime()$$$Python time.mktime()$$$Python time.asctime()$$$Python time.strftime()$$$Python time.strptime()$$$Table of Contents
      
|||time.struct_time Class",,
https://www.programiz.com/python-programming/time/sleep,Python sleep(),,"Example 3: Python multithreading$$$Example 4: sleep() in a multithreaded program$$$Table of Contents
      
|||Example 1: Python sleep()$$$Example 2: Python create a digital clock$$$Multithreading in Python$$$time.sleep() in multithreaded programs",,
https://www.programiz.com/python-programming/methods,,, Python Built-in Functions$$$Python abs()$$$Python any()$$$Python all()$$$Python ascii()$$$Python bin()$$$Python bool()$$$Python bytearray()$$$Python callable()$$$Python bytes()$$$Python chr()$$$Python compile()$$$Python classmethod()$$$Python complex()$$$Python delattr()$$$Python dict()$$$Python dir()$$$Python divmod()$$$Python enumerate()$$$Python staticmethod()$$$Python filter()$$$Python eval()$$$Python float()$$$Python format()$$$Python frozenset()$$$Python getattr()$$$Python globals()$$$Python exec()$$$Python hasattr()$$$Python help()$$$Python hex()$$$Python hash()$$$Python input()$$$Python id()$$$Python isinstance()$$$Python int()$$$Python issubclass()$$$Python iter()$$$Python list()$$$Python locals()$$$Python len()$$$Python max()$$$Python min()$$$Python map()$$$Python next()$$$Python memoryview()$$$Python object()$$$Python oct()$$$Python ord()$$$Python open()$$$Python pow()$$$Python print()$$$Python property()$$$Python range()$$$Python repr()$$$Python reversed()$$$Python round()$$$Python set()$$$Python setattr()$$$Python slice()$$$Python sorted()$$$Python str()$$$Python sum()$$$Python tuple()$$$Python type()$$$Python vars()$$$Python zip()$$$Python __import__()$$$Python super()$$$ Python Dictionary Methods$$$Python Dictionary clear()$$$Python Dictionary copy()$$$Python Dictionary fromkeys()$$$Python Dictionary get()$$$Python Dictionary items()$$$Python Dictionary keys()$$$Python Dictionary popitem()$$$Python Dictionary setdefault()$$$Python Dictionary pop()$$$Python Dictionary values()$$$Python Dictionary update()$$$ Python List Methods$$$Python List append()$$$Python List extend()$$$Python List insert()$$$Python List remove()$$$Python List index()$$$Python List count()$$$Python List pop()$$$Python List reverse()$$$Python List sort()$$$Python List copy()$$$Python List clear()$$$ Python Set Methods$$$Python Set remove()$$$Python Set add()$$$Python Set copy()$$$Python Set clear()$$$Python Set difference()$$$Python Set difference_update()$$$Python Set discard()$$$Python Set intersection()$$$Python Set intersection_update()$$$Python Set isdisjoint()$$$Python Set issubset()$$$Python Set issuperset()$$$Python Set pop()$$$Python Set symmetric_difference()$$$Python Set symmetric_difference_update()$$$Python Set union()$$$Python Set update()$$$Python frozenset()$$$ Python String Methods$$$Python String capitalize()$$$Python String center()$$$Python String casefold()$$$Python String count()$$$Python String endswith()$$$Python String expandtabs()$$$Python String encode()$$$Python String find()$$$Python String format()$$$Python String index()$$$Python String isalnum()$$$Python String isalpha()$$$Python String isdecimal()$$$Python String isdigit()$$$Python String isidentifier()$$$Python String islower()$$$Python String isnumeric()$$$Python String isprintable()$$$Python String isspace()$$$Python String istitle()$$$Python String isupper()$$$Python String join()$$$Python String ljust()$$$Python String rjust()$$$Python String lower()$$$Python String upper()$$$Python String swapcase()$$$Python String lstrip()$$$Python String rstrip()$$$Python String strip()$$$Python String partition()$$$Python String maketrans()$$$Python String rpartition()$$$Python String translate()$$$Python String replace()$$$Python String rfind()$$$Python String rindex()$$$Python String split()$$$Python String rsplit()$$$Python String splitlines()$$$Python String startswith()$$$Python String title()$$$Python String zfill()$$$Python String format_map()$$$ Python Tuple Methods$$$Python Tuple count()$$$Python Tuple index()|||,,
https://www.programiz.com/python-programming/guide,Python Programming,,"Simple and easy to learn$$$Free and open-source$$$Portability$$$Extensible and Embeddable$$$High-Level Interpreted Language$$$Rich library and large community$$$1. Simple Elegant Syntax$$$2. Not overly strict$$$3. The expressiveness of the language$$$4. Great Community and Support$$$Learn Python from Programiz$$$Learn Python from Mobile App$$$Table of Contents
      
|||What is Python Programming Language?$$$Features of Python Programming$$$Reasons to Choose Python as First Language$$$How you can learn to code in Python?$$$Final Words",,
